"colonna1","colonna2"
"New Frontiers in Type III Secretion Biology: the Chlamydia Perspective","New insights into the genome and transmission of the microsporidian pathogen Nosema muscidifuracis"
"Neutrophils: potential therapeutic targets in tularemia?","New insights into experimental visceral leishmaniasis: Real-time in vivo imaging of Leishmania donovani virulence"
"Neuroparasitology of Parasite-Insect Associations","New Frontiers in Type III Secretion Biology: the Chlamydia Perspective"
"NEUROLOGICAL AND PHYSIOLOGICAL DISORDERS IN ARTEMIA HARBORING MANIPULATIVE CESTODES","Neutrophils: potential therapeutic targets in tularemia?"
"Neuroinflammation-Associated Aspecific Manipulation of Mouse Predator Fear by Toxoplasma gondii","Neuroparasitology of Parasite-Insect Associations"
"Neurocognitive domains and neuropathological changes in experimental infection with Trypanosoma brucei brucei in Wistar rats","NEUROLOGICAL AND PHYSIOLOGICAL DISORDERS IN ARTEMIA HARBORING MANIPULATIVE CESTODES"
"Nest-dwelling ectoparasites reduce antioxidant defences in females and nestlings of a passerine: a field experiment","Neuroinflammation-Associated Aspecific Manipulation of Mouse Predator Fear by Toxoplasma gondii"
"Nest predation and cowbird parasitism in song sparrows","Neurocognitive domains and neuropathological changes in experimental infection with Trypanosoma brucei brucei in Wistar rats"
"Nest desertion by Field Sparrows and its possible influence on the evolution of Cowbird behavior","Nest-dwelling ectoparasites reduce antioxidant defences in females and nestlings of a passerine: a field experiment"
"Nest desertion by a cowbird host: an antiparasite behavior or a response to egg loss?","Nest predation and cowbird parasitism in song sparrows"
"Neospora caninum infection induces an isolate virulence-dependent pro-inflammatory gene expression profile in bovine monocyte-derived macrophages","Nest desertion by Field Sparrows and its possible influence on the evolution of Cowbird behavior"
"Neofunctionalization of an ancient domain allows parasites to avoid intraspecific competition by manipulating host behaviour","Nest desertion by a cowbird host: an antiparasite behavior or a response to egg loss?"
"Nematomorph parasites indirectly alter the food web and ecosystem function of streams through behavioural manipulation of their cricket hosts","Neospora caninum infection induces an isolate virulence-dependent pro-inflammatory gene expression profile in bovine monocyte-derived macrophages"
"Nematomorph parasites drive energy flow through a riparian ecosystem","Neofunctionalization of an ancient domain allows parasites to avoid intraspecific competition by manipulating host behaviour"
"Nematode and Strepsipteran Parasitism in Bait-Trapped and Hand-Collected Hornets (Hymenoptera, Vespidae, Vespa)","Nematomorph parasites indirectly alter the food web and ecosystem function of streams through behavioural manipulation of their cricket hosts"
"Naturally occurring Toll-like receptor 11 (TLR11) and Toll-like receptor 12 (TLR12) polymorphisms are not associated with Toxoplasma gondii infection in wild wood mice","Nematomorph parasites drive energy flow through a riparian ecosystem"
"Natural infection by the protozoan Leptomonas wallacei impacts the morphology, physiology, reproduction, and lifespan of the insect Oncopeltus fasciatus","Nematode and Strepsipteran Parasitism in Bait-Trapped and Hand-Collected Hornets (Hymenoptera, Vespidae, Vespa)"
"Natural history and ecological effects on the establishment and fate of Florida carpenter ant cadavers infected by the parasitic manipulator Ophiocordyceps camponoti-floridani","Naturally occurring Toll-like receptor 11 (TLR11) and Toll-like receptor 12 (TLR12) polymorphisms are not associated with Toxoplasma gondii infection in wild wood mice"
"Naris deformation in Darwin's finches: Experimental and historical evidence for a post-1960s arrival of the parasite Philornis downsi","Natural infection by the protozoan Leptomonas wallacei impacts the morphology, physiology, reproduction, and lifespan of the insect Oncopeltus fasciatus"
"Nanotechnology: A promising strategy for the control of parasitic infections","Natural history and ecological effects on the establishment and fate of Florida carpenter ant cadavers infected by the parasitic manipulator Ophiocordyceps camponoti-floridani"
"Naive CD8 T cell IFNγ responses to a vacuolar antigen are regulated by an inflammasome-independent NLRP3 pathway andToxoplasma gondiiROP5","Naris deformation in Darwin's finches: Experimental and historical evidence for a post-1960s arrival of the parasite Philornis downsi"
"Mutualistic Wolbacbia infection in Aedes albopictus:: Accelerating cytoplasmic drive","Nanotechnology: A promising strategy for the control of parasitic infections"
"Multiorganismal Insects: Diversity and Function of Resident Microorganisms","Naive CD8 T cell IFNγ responses to a vacuolar antigen are regulated by an inflammasome-independent NLRP3 pathway andToxoplasma gondiiROP5"
"Multiomic interpretation of fungus-infected ant metabolomes during manipulated summit disease","Mutualistic Wolbacbia infection in Aedes albopictus:: Accelerating cytoplasmic drive"
"Multimodal Signaling in Myrmecophilous Butterflies","Multiorganismal Insects: Diversity and Function of Resident Microorganisms"
"Multifunctional analysis of Chlamydia-specific genes in a yeast expression system","Multiomic interpretation of fungus-infected ant metabolomes during manipulated summit disease"
"Multifaceted responses to two major parasites in the honey bee (Apis mellifera)","Multimodal Signaling in Myrmecophilous Butterflies"
"Multidimensionality of Modification in an Isopod-Acanthocephalan System","Multifunctional analysis of Chlamydia-specific genes in a yeast expression system"
"Multidimensionality in parasite-induced phenotypic alterations: ultimate versus proximate aspects","Multifaceted responses to two major parasites in the honey bee (Apis mellifera)"
"Multidimensionality in host manipulation mimicked by serotonin injection","Multidimensionality of Modification in an Isopod-Acanthocephalan System"
"Multidimensionality and intra-individual variation in host manipulation by an acanthocephalan","Multidimensionality in parasite-induced phenotypic alterations: ultimate versus proximate aspects"
"Moving on: How malaria parasites exit the liver","Multidimensionality in host manipulation mimicked by serotonin injection"
"Movement data provides insight into feedbacks and heterogeneities in host-parasite interactions","Multidimensionality and intra-individual variation in host manipulation by an acanthocephalan"
"Mouse and Guinea Pig Models of Tuberculosis","Moving on: How malaria parasites exit the liver"
"Mosquitoes are attracted by the odour of Plasmodium-infected birds","Movement data provides insight into feedbacks and heterogeneities in host-parasite interactions"
"Mosquito host-seeking diel rhythm and chemosensory gene expression is affected by age and Plasmodium stages","Mouse and Guinea Pig Models of Tuberculosis"
"Morphology and Transcriptome Analysis of Nosema bombycis Sporoplasm and Insights into the Initial Infection of Microsporidia","Mosquitoes are attracted by the odour of Plasmodium-infected birds"
"Morphology and kinetics of susceptible and resistant Biomphalaria alexandrina hemocytes during the first week of exposure to Schistosoma mansoni miracidia","Mosquito host-seeking diel rhythm and chemosensory gene expression is affected by age and Plasmodium stages"
"More than the ""Killer Trait"": Infection with the Bacterial Endosymbiont Caedibacter taeniospiralis Causes Transcriptomic Modulation in Paramecium Host","Morphology and Transcriptome Analysis of Nosema bombycis Sporoplasm and Insights into the Initial Infection of Microsporidia"
"Monoxenous and heteroxenous parasites of fish manipulate behavior of their hosts in different ways","Morphology and kinetics of susceptible and resistant Biomphalaria alexandrina hemocytes during the first week of exposure to Schistosoma mansoni miracidia"
"Molecular phylogenetic analysis of mermithid nematodes (Mermithida: Mermithidae) discovered from Japanese bumblebee (Hymenoptera: Bombinae) and behavioral observation of an infected bumblebee","More than the Killer Trait: Infection with the Bacterial Endosymbiont Caedibacter taeniospiralis Causes Transcriptomic Modulation in Paramecium Host"
